name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
Maruti Swift Dzire VDI,2014,5850,145500,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,5
Skoda Rapid 1.5 TDI Ambition,2014,4810,120000,Diesel,Individual,Manual,Second Owner,21.14 kmpl,1498 CC,103.52 bhp,5
Honda City 2017-2020 EXi,2006,2054,140000,Petrol,Individual,Manual,Third Owner,17.7 kmpl,1497 CC,78 bhp,5
Hyundai i20 Sportz Diesel,2010,2925,127000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1396 CC,90 bhp,5
Maruti Swift VXI BSIII,2007,1690,120000,Petrol,Individual,Manual,First Owner,16.1 kmpl,1298 CC,88.2 bhp,5
Hyundai Xcent 1.2 VTVT E Plus,2017,5720,45000,Petrol,Individual,Manual,First Owner,20.14 kmpl,1197 CC,81.86 bhp,5
Maruti Wagon R LXI DUO BSIII,2007,1248,175000,LPG,Individual,Manual,First Owner,17.3 km/kg,1061 CC,57.5 bhp,5
Maruti 800 DX BSII,2001,585,5000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,4
Toyota Etios VXD,2011,4550,90000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.1 bhp,5
Ford Figo Diesel Celebration Edition,2013,2600,169000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68.1 bhp,5
Renault Duster 110PS Diesel RxL,2014,6500,68000,Diesel,Individual,Manual,Second Owner,19.01 kmpl,1461 CC,108.45 bhp,5
Maruti Zen LX,2005,1196,100000,Petrol,Individual,Manual,Second Owner,17.3 kmpl,993 CC,60 bhp,5
Maruti Swift Dzire VDi,2009,3640,140000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,5
Maruti Swift 1.3 VXi,2007,2600,80000,Petrol,Individual,Manual,Second Owner,,,,
Maruti Wagon R LXI Minor,2009,2340,90000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1061 CC,67 bhp,5
Mahindra KUV 100 mFALCON G80 K8 5str,2016,5200,40000,Petrol,Individual,Manual,First Owner,18.15 kmpl,1198 CC,82 bhp,5
Maruti Ertiga SHVS VDI,2016,10114,70000,Diesel,Individual,Manual,Second Owner,24.52 kmpl,1248 CC,88.5 bhp,7
Hyundai i20 1.4 CRDi Asta,2012,6500,53000,Diesel,Individual,Manual,Second Owner,23.0 kmpl,1396 CC,90 bhp,5
Maruti Alto LX,2002,1950,80000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,8840,100000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,5
Mahindra Verito 1.5 D4 BSIII,2011,2262,100000,Diesel,Individual,Manual,Second Owner,21.0 kmpl,1461 CC,64.1 bhp,5
Honda WR-V i-DTEC VX,2017,12350,50000,Diesel,Individual,Manual,First Owner,25.5 kmpl,1498 CC,98.6 bhp,5
Maruti Swift Dzire ZDI,2015,6825,40000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,5
Maruti SX4 ZDI,2012,7800,72000,Diesel,Individual,Manual,First Owner,21.5 kmpl,1248 CC,88.8 bhp,5
Tata Tigor 2017-2020 XZ,2018,6500,35000,Petrol,Individual,Manual,First Owner,20.3 kmpl,1199 CC,83.81 bhp,5
Maruti Baleno Delta 1.2,2016,7475,45000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,5
Maruti Alto 800 LXI,2017,3575,28000,Petrol,Individual,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,5
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,3900,70000,Diesel,Individual,Manual,First Owner,18.2 kmpl,1248 CC,73.8 bhp,7
Maruti Wagon R LXI Minor,2009,2860,120000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1061 CC,67 bhp,5
Maruti Omni E MPI STD BS IV,2018,3314.987,25000,Petrol,Individual,Manual,First Owner,16.8 kmpl,796 CC,34.2 bhp,8
Maruti Vitara Brezza LDi Option,2017,8710,70000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5
Fiat Palio 1.2 ELX,2003,910,50000,Petrol,Individual,Manual,Second Owner,,,,
Maruti Omni 8 Seater BSIV,2012,1950,35000,Petrol,Individual,Manual,Second Owner,14.0 kmpl,796 CC,35 bhp,5
Hyundai i20 1.2 Asta Dual Tone,2018,9490,2388,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5
Maruti Vitara Brezza LDi,2017,8450,16200,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5
Maruti Alto 800 CNG LXI Optional,2019,4290,10000,CNG,Individual,Manual,Second Owner,33.44 km/kg,796 CC,40.3 bhp,4
Maruti Alto K10 VXI Airbag,2019,4758,15000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.1 bhp,5
Hyundai Verna VTVT 1.6 SX Option,2019,14937,5000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,5
Datsun GO D,2016,1950,42000,Petrol,Individual,Manual,First Owner,20.63 kmpl,1198 CC,67 bhp,5
Tata Safari DICOR 2.2 LX 4x2,2011,5525,60000,Diesel,Individual,Manual,Second Owner,13.93 kmpl,2179 CC,138.03 bhp,7
Maruti 800 Std,2012,1950,76000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,4
Jeep Compass 1.4 Limited Plus BSIV,2019,27300,5000,Petrol,Individual,Automatic,First Owner,16.0 kmpl,1368 CC,160.77 bhp,5
Honda City i VTEC VX,2018,12025,28900,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1497 CC,117.3 bhp,5
Honda City V MT,2013,5525,86300,Petrol,Dealer,Manual,First Owner,16.8 kmpl,1497 CC,116.3 bhp,5
Maruti Swift Dzire VXi AT,2018,8775,23300,Petrol,Dealer,Automatic,First Owner,18.5 kmpl,1197 CC,83.14 bhp,5
Maruti Vitara Brezza VDi,2018,10659.987,32600,Diesel,Dealer,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5
Maruti Alto K10 VXI,2018,5070,10300,Petrol,Dealer,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,5
Toyota Fortuner 4x4 MT,2014,19500,77000,Diesel,Dealer,Manual,First Owner,12.55 kmpl,2982 CC,168.5 bhp,7
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,9100,99000,Diesel,Dealer,Manual,First Owner,12.99 kmpl,2494 CC,100 bhp,7
Mercedes-Benz B Class B180,2014,18850,27800,Diesel,Dealer,Automatic,Second Owner,14.8 kmpl,2143 CC,120.7 bhp,5
Honda Amaze S Diesel,2015,5525,49800,Diesel,Dealer,Manual,First Owner,24.7 kmpl,1498 CC,98.63 bhp,5
Mitsubishi Pajero Sport 4X4,2013,14170,151000,Diesel,Dealer,Manual,First Owner,13.5 kmpl,2477 CC,175.56 bhp,7
Honda City i DTEC S,2015,7800,54700,Diesel,Dealer,Manual,First Owner,26.0 kmpl,1498 CC,98.6 bhp,5
Maruti Ciaz Zeta,2018,11050,64000,Petrol,Dealer,Manual,First Owner,20.65 kmpl,1462 CC,103.25 bhp,5
Honda Jazz VX Diesel,2015,6825,63000,Diesel,Dealer,Manual,First Owner,27.3 kmpl,1498 CC,98.6 bhp,5
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,21450,127700,Diesel,Dealer,Automatic,Second Owner,11.36 kmpl,2755 CC,171.5 bhp,7
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,12350,99000,Diesel,Dealer,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,7
Audi A6 2.0 TDI Technology,2013,22750,33900,Diesel,Dealer,Automatic,Second Owner,17.68 kmpl,1968 CC,174.33 bhp,5
Toyota Corolla Altis 1.8 VL CVT,2018,20670,25000,Petrol,Dealer,Automatic,First Owner,14.28 kmpl,1798 CC,138.03 bhp,5
Audi A6 2.0 TDI  Design Edition,2013,21969.987,50000,Diesel,Dealer,Automatic,First Owner,18.53 kmpl,1968 CC,187.74 bhp,5
Mercedes-Benz New C-Class 220 CDI AT,2013,18525,59000,Diesel,Dealer,Automatic,First Owner,14.84 kmpl,2143 CC,170 bhp,5
Tata Manza ELAN Quadrajet BS IV,2011,3445,120000,Diesel,Individual,Manual,First Owner,21.12 kmpl,1248 CC,88.8 bhp,5
Hyundai i10 Magna,2011,2470,110000,Petrol,Individual,Manual,Third Owner,20.36 kmpl,1197 CC,78.9 bhp,5
Hyundai i20 Asta 1.4 CRDi,2013,5525,60000,Diesel,Individual,Manual,First Owner,21.27 kmpl,1396 CC,88.76 bhp,5
Maruti Swift Dzire ZDI,2015,8190,147000,Diesel,Individual,Manual,Second Owner,26.59 kmpl,1248 CC,74 bhp,5
Ford Figo 1.2P Titanium MT,2017,7800,25000,Petrol,Individual,Manual,Third Owner,18.16 kmpl,1196 CC,86.8 bhp,5
Maruti Baleno Delta 1.2,2019,8450,30000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,5
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,7020,40000,Diesel,Individual,Manual,First Owner,22.0 kmpl,1498 CC,108.495 bhp,5
Honda City i DTEC VX,2015,8190,135000,Diesel,Individual,Manual,First Owner,25.1 kmpl,1498 CC,98.6 bhp,5
Maruti Wagon R AMT VXI,2018,5824,30000,Petrol,Individual,Automatic,First Owner,20.51 kmpl,998 CC,67 bhp,5
Volkswagen Ameo 1.5 TDI Comfortline,2017,6500,80000,Diesel,Individual,Manual,First Owner,21.66 kmpl,1498 CC,108.62 bhp,5
Maruti Vitara Brezza VDi,2016,9685,70000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5
Maruti Vitara Brezza ZDi Plus AMT,2019,13325,9850,Diesel,Individual,Automatic,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5
Hyundai i10 Magna,2011,3055,60000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,5
Maruti Swift VDI Deca,2016,8190,70000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,5
Toyota Fortuner 4x4 MT,2015,22100,78000,Diesel,Individual,Manual,Second Owner,12.55 kmpl,2982 CC,168.5 bhp,7
Maruti Swift Star VDI,2013,5850,120000,Diesel,Individual,Manual,Second Owner,22.9 kmpl,1248 CC,74 bhp,5
Maruti Ertiga ZXI,2012,5850,120000,Petrol,Individual,Manual,Second Owner,16.02 kmpl,1373 CC,93.7 bhp,7
Tata Indica DLS,2003,650,70000,Diesel,Individual,Manual,First Owner,,,,
Volkswagen Vento Diesel Highline,2013,5850,170000,Diesel,Individual,Manual,First Owner,20.54 kmpl,1598 CC,103.6 bhp,5
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,15600,140000,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,8
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,7930,90000,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,5
BMW X1 sDrive20i xLine,2016,32500,30000,Petrol,Individual,Automatic,Second Owner,15.71 kmpl,1998 CC,189 bhp,5
Maruti Celerio ZXI MT BSIV,2017,6304.987,10000,Petrol,Dealer,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,5
Datsun GO A Petrol,2016,3575,49000,Petrol,Dealer,Manual,First Owner,19.02 kmpl,1198 CC,67.05 bhp,5
Maruti Alto 800 VXI BSIV,2016,4095,32000,Petrol,Dealer,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,5
Maruti Alto 800 LXI BSIV,2016,3575,38000,Petrol,Dealer,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,5
Maruti Swift VDI BSIV W ABS,2015,6175,78000,Diesel,Dealer,Manual,First Owner,,,,
Hyundai i10 Era 1.1,2012,3770,28000,Petrol,Dealer,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,5
Maruti Omni 8 Seater BSIV,2017,3640,32000,Petrol,Dealer,Manual,First Owner,14.0 kmpl,796 CC,35 bhp,5
Maruti Wagon R LXI LPG BSIV,2010,2925,44000,LPG,Dealer,Manual,First Owner,26.2 km/kg,998 CC,58.2 bhp,5
Volkswagen Polo 1.2 MPI Comfortline,2015,5915,42000,Petrol,Dealer,Manual,First Owner,16.47 kmpl,1198 CC,74 bhp,5
